text,imageURN,folioReference
urn:cts:greekLit:tlg5026.msA:8.137,"urn:cite:hmt:vaimg.VA104RN-0276@0.5996,0.5965,0.2368,0.0833",urn:cite:hmt:msA.msA-104r
urn:cts:greekLit:tlg5026.msA:8.138,"urn:cite:hmt:vaimg.VA104RN-0276@0.6097,0.6749,0.2195,0.058",urn:cite:hmt:msA.msA-104r
urn:cts:greekLit:tlg5026.msA:8.139,"urn:cite:hmt:vaimg.VA104RN-0276@0.1712,0.7275,0.6556,0.0386",urn:cite:hmt:msA.msA-104r
urn:cts:greekLit:tlg5026.msA:8.140,"urn:cite:hmt:vaimg.VA104RN-0276@0.1742,0.7494,0.6556,0.0345",urn:cite:hmt:msA.msA-104r
urn:cts:greekLit:tlg5026.msA:8.146,"urn:cite:hmt:vaimg.VA104VN-0607@0.1814,0.1319,0.6766,0.0416",urn:cite:hmt:msA.msA-104v
urn:cts:greekLit:tlg5026.msA:8.147,"urn:cite:hmt:vaimg.VA104VN-0607@0.1909,0.1476,0.6766,0.0378",urn:cite:hmt:msA.msA-104v
urn:cts:greekLit:tlg5026.msA:8.148,"urn:cite:hmt:vaimg.VA104VN-0607@0.1889,0.1749,0.6297,0.0215",urn:cite:hmt:msA.msA-104v
urn:cts:greekLit:tlg5026.msA:8.149,"urn:cite:hmt:vaimg.VA104VN-0607@0.1863,0.1832,0.6877,0.0348",urn:cite:hmt:msA.msA-104v
urn:cts:greekLit:tlg5026.msA:8.9011,"urn:cite:hmt:vaimg.VA104VN-0607@0.1791,0.1946,0.698,0.0862",urn:cite:hmt:msA.msA-104v
urn:cts:greekLit:tlg5026.msA:8.150,"urn:cite:hmt:vaimg.VA104VN-0607@0.178,0.5115,0.2226,0.0521",urn:cite:hmt:msA.msA-104v
urn:cts:greekLit:tlg5026.msA:8.151,"urn:cite:hmt:vaimg.VA104VN-0607@0.1754,0.554,0.2383,0.0869",urn:cite:hmt:msA.msA-104v
urn:cts:greekLit:tlg5026.msA:8.152,"urn:cite:hmt:vaimg.VA104VN-0607@0.1637,0.6258,0.7217,0.1783",urn:cite:hmt:msA.msA-104v
urn:cts:greekLit:tlg5026.msA:8.153,"urn:cite:hmt:vaimg.VA104VN-0607@0.1857,0.7732,0.6989,0.0624",urn:cite:hmt:msA.msA-104v
urn:cts:greekLit:tlg5026.msA:8.154,"urn:cite:hmt:vaimg.VA104VN-0607@0.1846,0.8148,0.7011,0.0706",urn:cite:hmt:msA.msA-104v
urn:cts:greekLit:tlg5026.msA:8.155,"urn:cite:hmt:vaimg.VA104VN-0607@0.1883,0.8558,0.7006,0.0594",urn:cite:hmt:msA.msA-104v
urn:cts:greekLit:tlg5026.msA:8.162,"urn:cite:hmt:vaimg.VA105RN-0277@0.1898,0.1152,0.6287,0.066",urn:cite:hmt:msA.msA-105r
urn:cts:greekLit:tlg5026.msA:8.163,"urn:cite:hmt:vaimg.VA105RN-0277@0.1948,0.1563,0.6222,0.0384",urn:cite:hmt:msA.msA-105r
urn:cts:greekLit:tlg5026.msA:8.164,"urn:cite:hmt:vaimg.VA105RN-0277@0.1892,0.1698,0.6396,0.0887",urn:cite:hmt:msA.msA-105r
urn:cts:greekLit:tlg5026.msA:8.165,"urn:cite:hmt:vaimg.VA105RN-0277@0.6094,0.2508,0.2083,0.0416",urn:cite:hmt:msA.msA-105r
urn:cts:greekLit:tlg5026.msA:8.166,"urn:cite:hmt:vaimg.VA105RN-0277@0.6134,0.2854,0.2083,0.051",urn:cite:hmt:msA.msA-105r
urn:cts:greekLit:tlg5026.msA:8.167,"urn:cite:hmt:vaimg.VA105RN-0277@0.6111,0.3275,0.2137,0.1114",urn:cite:hmt:msA.msA-105r
urn:cts:greekLit:tlg5026.msA:8.168,"urn:cite:hmt:vaimg.VA105RN-0277@0.6151,0.4303,0.2008,0.0641",urn:cite:hmt:msA.msA-105r
urn:cts:greekLit:tlg5026.msA:8.169,"urn:cite:hmt:vaimg.VA105RN-0277@0.6243,0.4832,0.2055,0.0757",urn:cite:hmt:msA.msA-105r
urn:cts:greekLit:tlg5026.msA:8.170,"urn:cite:hmt:vaimg.VA105RN-0277@0.6339,0.5528,0.1887,0.069",urn:cite:hmt:msA.msA-105r
urn:cts:greekLit:tlg5026.msA:8.171,"urn:cite:hmt:vaimg.VA105RN-0277@0.612,0.6172,0.2162,0.1633",urn:cite:hmt:msA.msA-105r
urn:cts:greekLit:tlg5026.msA:8.179,"urn:cite:hmt:vaimg.VA105VN-0608@0.188,0.1311,0.6763,0.0811",urn:cite:hmt:msA.msA-105v
urn:cts:greekLit:tlg5026.msA:8.180,"urn:cite:hmt:vaimg.VA105VN-0608@0.1991,0.171,0.6671,0.0504",urn:cite:hmt:msA.msA-105v
urn:cts:greekLit:tlg5026.msA:8.181,"urn:cite:hmt:vaimg.VA105VN-0608@0.1871,0.2047,0.4566,0.038",urn:cite:hmt:msA.msA-105v
urn:cts:greekLit:tlg5026.msA:8.182,"urn:cite:hmt:vaimg.VA105VN-0608@0.1906,0.6104,0.216,0.077",urn:cite:hmt:msA.msA-105v
urn:cts:greekLit:tlg5026.msA:8.183,"urn:cite:hmt:vaimg.VA105VN-0608@0.1977,0.675,0.2037,0.0508",urn:cite:hmt:msA.msA-105v
